iter	MultiClass
0	5.673857643
1	5.376079876
2	5.219629398
3	4.933115001
4	4.659135718
5	4.387814615
6	4.144026365
7	3.893107916
8	3.654967186
9	3.421388564
10	3.215321577
11	3.013527666
12	2.825961557
13	2.647860664
14	2.494229641
15	2.348960896
16	2.204437025
17	2.076989162
18	1.978129581
19	1.880339423
20	1.801448639
21	1.730932433
22	1.645200946
23	1.558779469
24	1.485921941
25	1.469658302
26	1.404204784
27	1.350396067
28	1.315072701
29	1.28304408
30	1.257649842
31	1.200451061
32	1.173509113
33	1.149691257
34	1.094230902
35	1.038179028
36	1.000259207
37	0.9774450499
38	0.9615779848
39	0.9223633581
40	0.9025064848
41	0.8951964871
42	0.8866271973
43	0.8672905833
44	0.8279929365
45	0.8041586311
46	0.7958726859
47	0.7826734874
48	0.776979384
49	0.7505224117
50	0.7305270947
51	0.7252583155
52	0.7205715227
53	0.7047666458
54	0.6922957183
55	0.6865421939
56	0.6809744655
57	0.6546161949
58	0.6326837804
59	0.6271532188
60	0.6233318338
61	0.6197328736
62	0.6170567433
63	0.5937137171
64	0.5909700946
65	0.5864517635
66	0.5657896719
67	0.5626066578
68	0.5598763339
69	0.5517786444
70	0.549784778
71	0.5468909891
72	0.5444676089
73	0.541448867
74	0.5392779679
75	0.5355674302
76	0.5333525228
77	0.530790622
78	0.5258623022
79	0.5237748461
80	0.5228582041
81	0.5219987153
82	0.5165931836
83	0.514201282
84	0.5054745998
85	0.5025505623
86	0.4926544881
87	0.4916381067
88	0.4873226752
89	0.4842694568
90	0.4828326708
