iter	Passed	Remaining
0	4287	724572
1	8370	703128
2	8858	493110
3	12809	531597
4	16900	557732
5	20394	557461
6	24170	562826
7	28048	567984
8	31407	561849
9	35102	561642
10	38053	550045
11	40903	538563
12	44198	533777
13	47423	528437
14	50463	521456
15	52999	510120
16	56158	505423
17	58995	498180
18	61405	488008
19	63748	478113
20	66042	468585
21	68116	458238
22	70672	451690
23	73192	445256
24	76266	442347
25	77759	430666
26	80373	425682
27	82593	418867
28	84420	410459
29	86568	403985
30	88312	395980
31	91200	393300
32	92940	385843
33	94534	378136
34	97254	375122
35	99984	372163
36	102088	366968
37	103690	360189
38	105361	353905
39	107628	349793
40	109545	344667
41	110886	337940
42	112244	331514
43	114133	326837
44	117556	326544
45	120270	324208
46	121532	318053
47	123290	313363
48	124510	307464
49	127405	305772
50	129236	301550
51	130636	296443
52	131909	291196
53	133797	287417
54	135383	283075
55	136712	278308
56	138121	273818
57	141340	272933
58	143695	270342
59	145095	266007
60	146420	261636
61	147695	257275
62	148958	252993
63	151891	251570
64	153163	247418
65	154486	243433
66	156806	241061
67	158073	237110
68	159340	233237
69	160924	229892
70	162190	226152
71	163460	222487
72	164726	218882
73	165996	215346
74	167263	211867
75	168591	208520
76	169857	205152
77	171184	201910
78	172577	198791
79	173846	195577
80	175122	192418
81	176388	189294
82	177793	186362
83	179062	183326
84	180516	180516
85	181838	177610
86	183826	175374
87	185100	172480
88	186740	169955
89	188055	167160
90	189324	164359
