Character,is_alive,Admiral,Admiral (former),All-Star,Apprentice (former),Archaeologist,Assassin,Assassin (former),Bandit (former),Bartender,Botanist,Bounty Hunter (former),Broker,CP9 Chief (former),Cafe Employee,Captain,Captain  (former),Captain (former),Chief of Staff,Cipher Pol Agent,Cipher Pol Agent (former),Combatant,Commander of Royal Guards,Cook,Cross Guild Chief Officer,Dismantler,Dock One Foreman,Doctor,Emperor,Emperor (former),First Mate,First Mate (former),Fisherman,Frontier Agent (former),General Zombie,God's Guard,Helmsman,King,Kingsbird (former),Marine Captain,Marine Lieutenant Commander,Marine Officer (former),Mercenary,Mercenary (former),Mikan Farmer,Minister of Ryugu Kingdom,Musician,Musketeer,Navigator,Ninja,Noble (former),Officer Agent (former),Pet,Pirate,Pirate (former),Pirate Apprentice (former),Pirate Captain,Pirate Captain (former),Pirate Captain/Admiral,Pirate Executive Officer,Pirate Officer,Pirate Officer (former),Pretend Pirate (formerly),Priest of Enel,Prince,Prince of the Ryugu Kingdom,Princess,Prisoner (former),Prisoner of the Great Prison,Prisoner of the Great Prison (former),Retainer,Retainer of the Kozuki Family,Royal Transport,Ruler of Amazon Lily,Samurai,Scientist,Senior Officer,Servant (former),Shandia Warrior,Shinuchi,Shipwright,Slave (former),Sniper,Soldier (former),Sweet Commander,Swordsman,Takoyaki seller,Thief,Thief (former),Three Inuarashi Musketeers,Vice Admiral,Vice Admiral (former),Warlord of the Sea (former),Warrior,World Noble,World Noble (former),Yakuza Boss (former),Blood_F,Blood_S,Blood_S (RH-),Blood_X,Blood_XF,Origin_Calm Belt (Amazon Lily),Origin_East Blue,Origin_East Blue (Conomi Islands),Origin_East Blue (Gecko Islands),Origin_East Blue (Goa Kingdom),Origin_East Blue (Loguetown),Origin_East Blue (Organ Islands),Origin_Grand Line,Origin_Grand Line (Arabasta Kingdom),Origin_Grand Line (At a random port),Origin_Grand Line (Dressrosa),Origin_Grand Line (Drum Kingdom),Origin_Grand Line (Elbaf),Origin_Grand Line (Green Bit),Origin_Grand Line (Moby Dick),Origin_Grand Line (Mogaro Kingdom),Origin_Grand Line (Mokomo Dukedom),Origin_Grand Line (On a boat),Origin_Grand Line (Ryugu Kingdom),"Origin_Grand Line (Ryugu Kingdom, Fish-Man Island)",Origin_Grand Line (Ryugu Kingdom; Fish-Man Island),Origin_Grand Line (Skypiea),Origin_Grand Line (Totto Land),Origin_Grand Line (Wano Country),Origin_Grand Line (Water 7),Origin_North Blue,Origin_North Blue (Germa Kingdom),Origin_Red Line (Mary Geoise),Origin_Sky Islands (Birka),Origin_Sky Islands (Skypiea),Origin_South Blue,Origin_Wano Country,Origin_West Blue,Origin_West Blue (Kano Country),Origin_West Blue (Ohara),has_devil_fruit,Fruit_Clear-Clear Fruit,"Fruit_Fish-Fish Fruit, Model: Azure DragonFish-Fish Fruit, Azure Dragon Model","Fruit_Flame-Flame Fruit (VIZ, Funimation);Flare-Flare Fruit (4Kids, Funimation subs)",Fruit_Soul-Soul Fruit,Fruit_Tremor-Tremor Fruit,age_under_25,age_25_60,age_over_60,height_short,height_tall,height_giant,Arc_Alabasta,Arc_Alabasta Saga (Early),Arc_Amazon Lily,Arc_Arlong Park,Arc_Baratie,Arc_Dressrosa,Arc_Fish-Man Island,Arc_Impel Down,Arc_Levely,Arc_Loguetown,Arc_Marineford,Arc_Orange Town,Arc_Punk Hazard,Arc_Romance Dawn,Arc_Sabaody Archipelago,Arc_Skypiea,Arc_Syrup Village,Arc_Thriller Bark,Arc_Wano Country,Arc_Water 7 / Enies Lobby,Arc_Whole Cake Island,Arc_Zou,FruitType_Ancient Zoan,FruitType_Artificial Zoan,FruitType_Logia,FruitType_Mythical Zoan,FruitType_Paramecia,FruitType_Zoan
Bishamon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Black Maria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Bell-mère,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bepo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Benn Beckman,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellamy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Bentham,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zeus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zeo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambai,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
